id,name,product_type,url,price,old_price,discount,in_stock,image_url,rating,reviews_count,utp,sizes,count_sizes,fabrics,count_fabrics,room_1,room_2,room_3,room_4,room_5,room_6
1295567,"Анатомический матрас Original Pro 3.0","Анатомический матрас",https://askona.ru/matrasy/original-pro-3.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,34732,91400,62,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/original-pro-3/main.jpg,5,21,"Улучшенная пружина",160&times;190|140&times;190|90&times;190,14,,1,Спальня,,,,,
1373635,"Анатомический матрас Space Solutions Hard","Анатомический матрас",https://askona.ru/matrasy/space-solutions-hard.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,25409,30613,17,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/space-solutions-hard/space-solutions-hard_1.jpg,0,0,"Для шкафов-кроватей",160&times;200|140&times;200|120&times;200,10,,1,Спальня,,,,,
1373717,"Анатомический матрас Space Solutions Soft","Анатомический матрас",https://askona.ru/matrasy/space-solutions-soft.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,23853,28738,17,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/space-solutions-soft/space-solutions-soft_1.jpg,0,0,"Для шкафов-кроватей",140&times;200|120&times;200|90&times;200,11,,1,Спальня,,,,,
1404174,"Анатомический матрас Ergo Adaptive Hard с опцией Butterfly","Анатомический матрас",https://askona.ru/matrasy/ergo-adaptive-hard-butterfly.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,50765,78100,35,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/ergo-adaptive-hard-butterfly/main.jpg,0,0,"Совместим с эрго",160&times;200|200&times;200|180&times;200,3,,1,Спальня,,,,,
1285882,"Анатомический матрас Plush Extra","Анатомический матрас",https://askona.ru/matrasy/matras-plush-extra.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,28385,81100,65,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/matras-plush-extra/main.jpg,4.6,15,"5 зон поддержки",160&times;190|140&times;190|90&times;190,13,,1,Спальня,,,,,
772,"Анатомический матрас Family Lovely","Анатомический матрас",https://askona.ru/matrasy/family-lovely.htm?SELECTED_HASH_SIZE=180x190-08aa38992a4cfc5bdec666e29e5d85fb,41718,81800,49,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/family-lovely/main.jpg,4.9,16,"Не деформируется",180&times;190|160&times;190|140&times;190,14,,1,Спальня,,,,,
766,"Анатомический матрас Family Tending","Анатомический матрас",https://askona.ru/matrasy/family-tending.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,39028,88700,56,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/family-tending/main.jpg,4.8,16,"Усиленный периметр",160&times;190|140&times;190|200&times;190,14,,1,Спальня,,,,,
769,"Анатомический матрас Family Mild","Анатомический матрас",https://askona.ru/matrasy/family-mild.htm?SELECTED_HASH_SIZE=200x190-321c48f05d1b53091086746d0d534e76,41990,110500,62,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/family-mild/main.jpg,5,25,"2 стороны жесткости",200&times;190|180&times;190|160&times;190,14,,1,Спальня,,,,,
672,"Разносторонний матрас Fortuna","Разносторонний матрас",https://askona.ru/matrasy/askona-fortuna.htm?SELECTED_HASH_SIZE=180x190-08aa38992a4cfc5bdec666e29e5d85fb,18130,37000,51,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/askona-fortuna/main.jpg,5,46,"Выбор жесткости",180&times;190|160&times;190|90&times;190,14,,1,Спальня,,,,,
1120148,"Анатомический матрас Erica","Анатомический матрас",https://askona.ru/matrasy/matras-erica.htm?SELECTED_HASH_SIZE=200x190-321c48f05d1b53091086746d0d534e76,19796,40400,51,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/matras-erica/main.jpg,5,45,"Основа вашего сна",200&times;190|180&times;190|160&times;190,14,,1,Спальня,,,,,
1287870,"Анатомический матрас Basic Optima Hard","Анатомический матрас",https://askona.ru/matrasy/basic-optima-hard.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,19278,71400,73,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/basic-optima-hard/main.jpg,4.9,8,"5 зон поддержки",160&times;190|120&times;190|200&times;190,14,,1,Спальня,,,,,
1314603,"Анатомический матрас Basic iComfort Plus","Анатомический матрас",https://askona.ru/matrasy/basic-icomfort-plus.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,13400,33500,60,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/basic-icomfort-plus/main.jpg,4.8,17,"Безопасные материалы",160&times;190|140&times;190|80&times;190,13,,1,Спальня,,,,,
1289153,"Анатомический матрас Classic Start","Анатомический матрас",https://askona.ru/matrasy/classic-start.htm?SELECTED_HASH_SIZE=200x190-321c48f05d1b53091086746d0d534e76,28396,91600,69,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-start/classic-start.jpg,4.9,15,"Нет эффекта волны",200&times;190|120&times;190|80&times;190,14,,1,Спальня,,,,,
1289155,"Анатомический матрас Classic Start Cocos","Анатомический матрас",https://askona.ru/matrasy/classic-start-cocos.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,28032,87600,68,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-start-cocos/main.jpg,4.8,4,"Точечная поддержка",160&times;190|120&times;190|140&times;190,13,,1,Спальня,,,,,
1289157,"Анатомический матрас Classic Active Cocos","Анатомический матрас",https://askona.ru/matrasy/classic-active-cocos.htm?SELECTED_HASH_SIZE=200x190-321c48f05d1b53091086746d0d534e76,38920,111200,65,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-active-cocos/classic-active-cocos.jpg,5,14,"Улучшенная пружина",200&times;190|80&times;190|90&times;190,14,,1,Спальня,,,,,
1289159,"Анатомический матрас Classic Extra","Анатомический матрас",https://askona.ru/matrasy/classic-extra.htm?SELECTED_HASH_SIZE=180x190-08aa38992a4cfc5bdec666e29e5d85fb,33870,112900,70,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-extra/classic.jpg,4.9,9,"Защитная пропитка",180&times;190|160&times;190|140&times;190,13,,1,Спальня,,,,,
1289160,"Анатомический матрас Classic Extra Cocos","Анатомический матрас",https://askona.ru/matrasy/classic-extra-cocos.htm?SELECTED_HASH_SIZE=120x190-75316346302804296583aee541842719,27574,81100,66,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-extra-cocos/classic.jpg,4.5,4,"Нет эффекта волны",120&times;190|140&times;190|180&times;190,13,,1,Спальня,,,,,
1378869,"Анатомический матрас Classic Brilliant","Анатомический матрас",https://askona.ru/matrasy/classic-brilliant.htm?SELECTED_HASH_SIZE=180x190-08aa38992a4cfc5bdec666e29e5d85fb,27000,67500,60,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-brilliant/main.jpg,5,7,"7 зон комфорта",180&times;190|120&times;190|160&times;190,14,,1,Спальня,,,,,
1378870,"Анатомический матрас Classic Brilliant Duo","Анатомический матрас",https://askona.ru/matrasy/classic-brilliant-duo.htm?SELECTED_HASH_SIZE=160x190-1a15777d116bbfccf8701751320f2b00,25513,82300,69,true,https://cdn.askona.ru/upload/catalog_product_images/matrasy/classic-brilliant-duo/main.jpg,4.9,17,"2 стороны жесткости",160&times;190|120&times;190|80&times;190,14,,1,Спальня,,,,,
